"Date","Month","Year","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2017-09-11,9,2017,22,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-12,9,2017,20,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-13,9,2017,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-14,9,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-15,9,2017,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-16,9,2017,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-17,9,2017,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-18,9,2017,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-19,9,2017,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-20,9,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-21,9,2017,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-22,9,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-23,9,2017,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-24,9,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-25,9,2017,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-26,9,2017,21,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-27,9,2017,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-28,9,2017,97,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-29,9,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-30,9,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-01,10,2017,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-03,10,2017,48,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-04,10,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-05,10,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-06,10,2017,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-07,10,2017,20,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-08,10,2017,14,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-09,10,2017,20,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-10,10,2017,18,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-11,10,2017,22,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-12,10,2017,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-13,10,2017,25,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-14,10,2017,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-15,10,2017,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-16,10,2017,24,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-17,10,2017,33,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-18,10,2017,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-19,10,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-20,10,2017,49,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-21,10,2017,48,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-22,10,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-24,10,2017,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-25,10,2017,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-26,10,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-27,10,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-28,10,2017,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-29,10,2017,19,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-30,10,2017,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-31,10,2017,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
